Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10656522,1,"Friday, February 15, 2013 12:34:49 UTC",61.6088,-150.9780,2.3,69.40,25,"Southern Alaska"
ci,11244954,0,"Friday, February 15, 2013 12:28:31 UTC",34.2003,-117.4865,1.2,6.00,33,"Greater Los Angeles area, California"
us,c000f7tc,7,"Friday, February 15, 2013 12:23:54 UTC",-10.6548,165.4731,4.7,35.00,39,"Santa Cruz Islands"
nc,71937815,1,"Friday, February 15, 2013 11:38:56 UTC",38.8398,-122.8402,1.8,1.80,30,"Northern California"
ci,11244938,0,"Friday, February 15, 2013 11:37:59 UTC",33.5997,-116.4150,1.3,15.80,18,"Southern California"
ci,11244930,0,"Friday, February 15, 2013 11:32:12 UTC",34.1970,-117.4928,1.3,5.80,40,"Greater Los Angeles area, California"
ak,10656508,1,"Friday, February 15, 2013 11:22:20 UTC",62.3146,-142.4913,2.4,16.10,14,"Central Alaska"
nc,71937805,0,"Friday, February 15, 2013 11:21:39 UTC",38.8132,-122.8223,1.3,1.90,17,"Northern California"
ci,11244922,0,"Friday, February 15, 2013 10:47:05 UTC",33.6852,-116.7108,1.1,17.60,50,"Southern California"
ci,11244914,0,"Friday, February 15, 2013 10:44:19 UTC",32.9942,-115.5758,1.4,0.00,13,"Southern California"
us,c000f7s4,6,"Friday, February 15, 2013 10:42:51 UTC",-8.6859,116.3651,4.4,109.10,46,"Lombok region, Indonesia"
nn,00403219,9,"Friday, February 15, 2013 10:08:09 UTC",38.0198,-118.0923,1.3,13.80,13,"Nevada"
pr,13046002,0,"Friday, February 15, 2013 09:37:35 UTC",18.2134,-67.2929,2.1,31.00, 6,"Mona Passage, Puerto Rico"
nc,71937795,0,"Friday, February 15, 2013 09:10:34 UTC",36.6730,-121.3043,1.2,6.20, 7,"Central California"
ak,10656491,1,"Friday, February 15, 2013 08:47:29 UTC",63.5329,-146.9865,1.5,32.40, 5,"Central Alaska"
ci,11244890,0,"Friday, February 15, 2013 08:21:01 UTC",34.3337,-116.9200,1.2,2.70,33,"Southern California"
nc,71937780,0,"Friday, February 15, 2013 08:04:40 UTC",36.1772,-120.7528,1.7,1.10, 9,"Central California"
ak,10656483,1,"Friday, February 15, 2013 07:28:00 UTC",62.0752,-152.2115,2.3,131.60,16,"Central Alaska"
ak,10656471,1,"Friday, February 15, 2013 06:36:58 UTC",63.5230,-151.2573,1.3,4.50, 7,"Central Alaska"
us,c000f7q5,6,"Friday, February 15, 2013 06:23:02 UTC",67.7707,142.6182,4.4,13.80,84,"northeastern Sakha, Russia"
ak,10656467,1,"Friday, February 15, 2013 06:04:38 UTC",61.4157,-149.9345,1.9,29.30, 9,"Southern Alaska"
ci,11244882,0,"Friday, February 15, 2013 05:44:37 UTC",33.5007,-116.4523,1.6,4.70,82,"Southern California"
